city_ascii,state_id,state_name,lat,lng,population
Ennis,TX,Texas,32.3254,-96.6347,19917
Parma Heights,OH,Ohio,41.3865,-81.7637,19916
Lake Zurich,IL,Illinois,42.1956,-88.087,19912
Sand Springs,OK,Oklahoma,36.1353,-96.1283,19912
Bothell West,WA,Washington,47.8056,-122.2401,19899
Forest Park,GA,Georgia,33.6209,-84.359,19884
Howard,WI,Wisconsin,44.5703,-88.0928,19879
Alamo,TX,Texas,26.181,-98.1177,19851
Norwood,OH,Ohio,39.1605,-84.4535,19843
Hunters Creek,FL,Florida,28.361,-81.4358,19833
Belle Glade,FL,Florida,26.6916,-80.6656,19829
Painesville,OH,Ohio,41.724,-81.2536,19817
Mililani Mauka,HI,Hawaii,21.4756,-157.9948,19808
West St. Paul,MN,Minnesota,44.9018,-93.0858,19805
West Hempstead,NY,New York,40.6959,-73.6507,19787
Seymour,IN,Indiana,38.9476,-85.8911,19780
Middleton,WI,Wisconsin,43.1064,-89.5059,19764
Bartow,FL,Florida,27.8868,-81.8214,19762
Blythe,CA,California,33.6219,-114.6195,19747
Sherwood,OR,Oregon,45.3594,-122.8427,19745
Shafter,CA,California,35.4794,-119.2013,19743
West Mifflin,PA,Pennsylvania,40.3581,-79.9073,19742
Willmar,MN,Minnesota,45.1216,-95.0569,19728
North Bay Shore,NY,New York,40.7602,-73.2617,19728
Saco,ME,Maine,43.539,-70.4624,19716
Murrysville,PA,Pennsylvania,40.4456,-79.6554,19692
Meadowbrook,VA,Virginia,37.4301,-77.474,19675
Baldwin,PA,Pennsylvania,40.369,-79.9669,19667
Hauppauge,NY,New York,40.8211,-73.2109,19661
Oroville,CA,California,39.4999,-121.5634,19659
Horizon City,TX,Texas,31.6799,-106.1903,19645
Bourbonnais,IL,Illinois,41.183,-87.8784,19639
Old Jamestown,MO,Missouri,38.8394,-90.2847,19602
Affton,MO,Missouri,38.5499,-90.3264,19580
Makakilo,HI,Hawaii,21.3591,-158.0813,19565
Monroe,MI,Michigan,41.9155,-83.3849,19543
El Reno,OK,Oklahoma,35.5429,-97.966,19539
Montgomery,IL,Illinois,41.7237,-88.3633,19515
Salmon Creek,WA,Washington,45.7099,-122.6632,19506
Lake Forest,IL,Illinois,42.238,-87.8596,19497
Cumberland,MD,Maryland,39.6515,-78.7584,19495
Franconia,VA,Virginia,38.7682,-77.1587,19478
Stillwater,MN,Minnesota,45.0573,-92.8313,19471
Boone,NC,North Carolina,36.2111,-81.6669,19466
Orinda,CA,California,37.8808,-122.179,19461
Lynbrook,NY,New York,40.6579,-73.6742,19445
Central Falls,RI,Rhode Island,41.8901,-71.3934,19437
Badger,AK,Alaska,64.8006,-147.3877,19434
Five Corners,WA,Washington,45.6883,-122.5738,19415
Durango,CO,Colorado,37.2659,-107.8781,19413
Monroe,WA,Washington,47.8595,-121.9851,19403
Fairwood,WA,Washington,47.4467,-122.143,19400
Five Forks,SC,South Carolina,34.8069,-82.2271,19399
Montrose,CO,Colorado,38.4689,-107.859,19396
Langley Park,MD,Maryland,38.9897,-76.9808,19391
Yorkville,IL,Illinois,41.6563,-88.4507,19386
Johnstown,PA,Pennsylvania,40.326,-78.9194,19381
Matteson,IL,Illinois,41.5095,-87.7468,19374
Angleton,TX,Texas,29.1721,-95.4293,19371
South Burlington,VT,Vermont,44.4622,-73.2202,19359
Plattsburgh,NY,New York,44.6951,-73.4563,19343
Pinole,CA,California,37.9931,-122.2833,19343
Louisville,CO,Colorado,39.971,-105.1441,19342
Foley,AL,Alabama,30.3983,-87.665,19337
Brigham City,UT,Utah,41.5035,-112.0453,19336
Englewood,FL,Florida,26.9717,-82.3524,19332
Casa de Oro-Mount Helix,CA,California,32.764,-116.9688,19327
Midway,FL,Florida,30.4169,-87.0229,19311
Bethany,OK,Oklahoma,35.5071,-97.6418,19292
Evergreen Park,IL,Illinois,41.7213,-87.7013,19290
Mineola,NY,New York,40.747,-73.6394,19267
Arbutus,MD,Maryland,39.2428,-76.6922,19267
Murray,KY,Kentucky,36.6146,-88.3207,19254
Syosset,NY,New York,40.8157,-73.502,19254
Sylvania,OH,Ohio,41.71,-83.7092,19242
Bradfordville,FL,Florida,30.5735,-84.2055,19231
Haslett,MI,Michigan,42.7525,-84.402,19223
Broadview Heights,OH,Ohio,41.3196,-81.6779,19195
Carlisle,PA,Pennsylvania,40.2,-77.2034,19188
Pinecrest,FL,Florida,25.665,-80.3042,19183
Frankfort,IL,Illinois,41.4892,-87.8363,19166
North Liberty,IA,Iowa,41.7438,-91.6112,19159
Nanuet,NY,New York,41.0957,-74.0155,19148
Hermosa Beach,CA,California,33.8653,-118.3962,19147
McKeesport,PA,Pennsylvania,40.3418,-79.844,19128
Erlanger,KY,Kentucky,39.0109,-84.5864,19106
South San Jose Hills,CA,California,34.0123,-117.9043,19104
Mesquite,NV,Nevada,36.8032,-114.133,19087
Sherrelwood,CO,Colorado,39.839,-105.0014,19082
Valle Vista,CA,California,33.7436,-116.8871,19072
Marion Oaks,FL,Florida,29.0011,-82.1953,19068
Morristown,NJ,New Jersey,40.7967,-74.4772,19065
Phelan,CA,California,34.4398,-117.5248,19038
Deerfield,IL,Illinois,42.1654,-87.8516,19030
