city_ascii,state_id,state_name,lat,lng,population
New York,NY,New York,40.6943,-73.9249,18680025
Los Angeles,CA,California,34.1141,-118.4068,12531334
Chicago,IL,Illinois,41.8375,-87.6866,8586888
Miami,FL,Florida,25.784,-80.2101,6076316
Dallas,TX,Texas,32.7935,-96.7667,5910669
Houston,TX,Texas,29.786,-95.3885,5724418
Philadelphia,PA,Pennsylvania,40.0077,-75.1339,5540199
Atlanta,GA,Georgia,33.7628,-84.422,5151496
Washington,DC,District of Columbia,38.9047,-77.0163,5066973
Boston,MA,Massachusetts,42.3188,-71.0852,4465966
Phoenix,AZ,Arizona,33.5722,-112.0892,4187723
Detroit,MI,Michigan,42.3834,-83.1024,3731486
San Francisco,CA,California,37.7558,-122.4449,3557982
Seattle,WA,Washington,47.6211,-122.3244,3530752
San Diego,CA,California,32.8313,-117.1222,3178495
Minneapolis,MN,Minnesota,44.9635,-93.2678,2885614
Tampa,FL,Florida,27.9945,-82.4447,2771700
Denver,CO,Colorado,39.762,-104.8758,2709398
Baltimore,MD,Maryland,39.3051,-76.6144,2270087
Las Vegas,NV,Nevada,36.2333,-115.2654,2165405
St. Louis,MO,Missouri,38.6359,-90.2451,2144317
Riverside,CA,California,33.9381,-117.3949,2112239
Portland,OR,Oregon,45.5371,-122.65,2072553
San Antonio,TX,Texas,29.4632,-98.5238,2036324
Sacramento,CA,California,38.5677,-121.4685,1882358
San Juan,PR,Puerto Rico,18.3985,-66.061,1854549
San Jose,CA,California,37.3012,-121.848,1797166
Orlando,FL,Florida,28.4773,-81.337,1792047
Cleveland,OH,Ohio,41.4764,-81.6805,1742437
Pittsburgh,PA,Pennsylvania,40.4397,-79.9763,1719289
Austin,TX,Texas,30.3005,-97.7522,1685522
Cincinnati,OH,Ohio,39.1413,-84.506,1684800
Indianapolis,IN,Indiana,39.7771,-86.1458,1636763
Kansas City,MO,Missouri,39.1238,-94.5541,1602005
Columbus,OH,Ohio,39.9862,-82.9855,1547862
Charlotte,NC,North Carolina,35.2083,-80.8303,1526465
Virginia Beach,VA,Virginia,36.7335,-76.0435,1475522
Milwaukee,WI,Wisconsin,43.0642,-87.9675,1390046
Providence,RI,Rhode Island,41.823,-71.4187,1204385
Jacksonville,FL,Florida,30.3322,-81.6749,1165107
Salt Lake City,UT,Utah,40.7776,-111.9311,1135747
Nashville,TN,Tennessee,36.1715,-86.7842,1081876
Raleigh,NC,North Carolina,35.8324,-78.6429,1073795
Memphis,TN,Tennessee,35.1087,-89.9663,1072330
Richmond,VA,Virginia,37.5295,-77.4756,1025117
Louisville,KY,Kentucky,38.1663,-85.6485,1004821
New Orleans,LA,Louisiana,30.0687,-89.9288,957783
Bridgeport,CT,Connecticut,41.1918,-73.1954,948918
Oklahoma City,OK,Oklahoma,35.4676,-97.5136,947247
Buffalo,NY,New York,42.9018,-78.8487,926607
Hartford,CT,Connecticut,41.7661,-72.6834,918434
Fort Worth,TX,Texas,32.7817,-97.3474,892221
Tucson,AZ,Arizona,32.1541,-110.8787,883127
Honolulu,HI,Hawaii,21.3294,-157.846,834138
McAllen,TX,Texas,26.2252,-98.2467,805270
El Paso,TX,Texas,31.8476,-106.43,798217
Omaha,NE,Nebraska,41.2627,-96.0529,791432
Albuquerque,NM,New Mexico,35.1054,-106.6465,762853
Birmingham,AL,Alabama,33.5279,-86.7971,753721
Sarasota,FL,Florida,27.3387,-82.5432,727388
Dayton,OH,Ohio,39.7805,-84.2003,723844
Rochester,NY,New York,43.168,-77.6162,720189
Fresno,CA,California,36.783,-119.7939,702486
Tulsa,OK,Oklahoma,36.1283,-95.9042,698349
Allentown,PA,Pennsylvania,40.5961,-75.4756,688658
Concord,CA,California,37.9722,-122.0016,667250
Cape Coral,FL,Florida,26.6443,-81.9957,649339
Charleston,SC,South Carolina,32.8168,-79.9687,645413
Colorado Springs,CO,Colorado,38.8674,-104.7605,621332
Springfield,MA,Massachusetts,42.1155,-72.5395,615728
Grand Rapids,MI,Michigan,42.9619,-85.6562,615273
Ogden,UT,Utah,41.2279,-111.9682,615015
Columbia,SC,South Carolina,34.0378,-80.9036,609689
Baton Rouge,LA,Louisiana,30.442,-91.1311,605449
Knoxville,TN,Tennessee,35.9692,-83.9496,603685
Mission Viejo,CA,California,33.6096,-117.6551,600802
Albany,NY,New York,42.6664,-73.7987,590823
Akron,OH,Ohio,41.0798,-81.5219,570375
New Haven,CT,Connecticut,41.3113,-72.9246,566683
Provo,UT,Utah,40.2457,-111.6457,563884
Bakersfield,CA,California,35.3529,-119.0359,556892
Murrieta,CA,California,33.5719,-117.1909,524133
Des Moines,IA,Iowa,41.5725,-93.6105,519180
Worcester,MA,Massachusetts,42.2705,-71.8079,516483
Mesa,AZ,Arizona,33.4015,-111.7178,508918
Toledo,OH,Ohio,41.6638,-83.5827,498645
Palm Bay,FL,Florida,27.9631,-80.6593,496640
Wichita,KS,Kansas,37.6895,-97.3443,484715
Harrisburg,PA,Pennsylvania,40.2752,-76.8843,472261
Long Beach,CA,California,33.7977,-118.167,462081
Little Rock,AR,Arkansas,34.7256,-92.3577,446814
Madison,WI,Wisconsin,43.0822,-89.393,445499
Greenville,SC,South Carolina,34.8354,-82.3646,441303
Reno,NV,Nevada,39.5497,-119.8483,440547
Port St. Lucie,FL,Florida,27.2796,-80.3884,435182
Lancaster,PA,Pennsylvania,40.042,-76.3012,430621
Spokane,WA,Washington,47.6671,-117.433,426849
Denton,TX,Texas,33.2175,-97.1418,425901
Poughkeepsie,NY,New York,41.695,-73.9211,423386
Oakland,CA,California,37.7904,-122.2166,422575
Winston-Salem,NC,North Carolina,36.1029,-80.261,416394
Syracuse,NY,New York,43.0407,-76.1437,407942
Boise,ID,Idaho,43.6005,-116.2308,407550
Chattanooga,TN,Tennessee,35.066,-85.2481,404766
Augusta,GA,Georgia,33.3645,-82.0708,404125
Arlington,TX,Texas,32.6998,-97.125,397269
Stockton,CA,California,37.9765,-121.3109,394919
Durham,NC,North Carolina,35.9792,-78.9022,391371
Palm Coast,FL,Florida,29.5389,-81.2457,386415
Scranton,PA,Pennsylvania,41.4044,-75.6649,380870
Aurora,CO,Colorado,39.7083,-104.7237,379434
Oxnard,CA,California,34.1964,-119.1815,378990
Modesto,CA,California,37.6375,-121.0028,376717
Indio,CA,California,33.7346,-116.2346,367174
Kissimmee,FL,Florida,28.3041,-81.4169,366003
Youngstown,OH,Ohio,41.0993,-80.6463,363541
Pensacola,FL,Florida,30.4413,-87.1911,360711
Lancaster,CA,California,34.6935,-118.1753,353619
Anaheim,CA,California,33.839,-117.8574,353085
Fayetteville,AR,Arkansas,36.0714,-94.1661,350995
Jackson,MS,Mississippi,32.3157,-90.2125,350373
Victorville,CA,California,34.5277,-117.3536,350275
Bonita Springs,FL,Florida,26.3558,-81.7859,347581
Greensboro,NC,North Carolina,36.0956,-79.8271,343505
Corpus Christi,TX,Texas,27.7254,-97.3767,343031
Flint,MI,Michigan,43.0236,-83.6921,339283
Fayetteville,NC,North Carolina,35.085,-78.9772,333366
Santa Ana,CA,California,33.7367,-117.8819,332610
Fort Wayne,IN,Indiana,41.0888,-85.1436,329170
Mobile,AL,Alabama,30.6782,-88.1162,328610
Lansing,MI,Michigan,42.7142,-84.5601,326380
Ann Arbor,MI,Michigan,42.2759,-83.731,323593
Huntsville,AL,Alabama,34.6981,-86.6412,317279
Lexington,KY,Kentucky,38.0423,-84.4587,316743
Santa Rosa,CA,California,38.4458,-122.7067,313875
Antioch,CA,California,37.9787,-121.796,313532
Asheville,NC,North Carolina,35.5707,-82.5537,312618
Henderson,NV,Nevada,36.0133,-115.0381,309955
St. Paul,MN,Minnesota,44.9478,-93.1039,305877
Fort Collins,CO,Colorado,40.5477,-105.0656,304657
Lakeland,FL,Florida,28.0557,-81.9545,300268
Springfield,MO,Missouri,37.1943,-93.2916,295230
The Woodlands,TX,Texas,30.1738,-95.5134,294943
Shreveport,LA,Louisiana,32.4653,-93.7955,291388
Trenton,NJ,New Jersey,40.2237,-74.7641,291085
Plano,TX,Texas,33.0502,-96.7486,288870
Round Lake Beach,IL,Illinois,42.3791,-88.0811,287012
South Bend,IN,Indiana,41.6767,-86.2696,285569
Savannah,GA,Georgia,32.0286,-81.1821,284429
Newark,NJ,New Jersey,40.7245,-74.1725,281917
Davenport,IA,Iowa,41.5565,-90.6053,281895
Myrtle Beach,SC,South Carolina,33.7094,-78.8844,281180
Lincoln,NE,Nebraska,40.8099,-96.6784,280780
Rockford,IL,Illinois,42.2596,-89.064,280337
Reading,PA,Pennsylvania,40.34,-75.9267,278693
Canton,OH,Ohio,40.8078,-81.3676,277769
Irvine,CA,California,33.6772,-117.7738,272694
Eugene,OR,Oregon,44.0564,-123.1174,270013
Chula Vista,CA,California,32.6281,-117.0144,268779
St. Petersburg,FL,Florida,27.7931,-82.6652,264001
Salem,OR,Oregon,44.9233,-123.0244,263571
Lafayette,LA,Louisiana,30.2082,-92.0325,263551
Laredo,TX,Texas,27.5625,-99.4874,262774
Jersey City,NJ,New Jersey,40.7184,-74.0686,262652
Santa Clarita,CA,California,34.4175,-118.4964,260999
Aguadilla,PR,Puerto Rico,18.4382,-67.1537,260331
Wilmington,NC,North Carolina,34.2099,-77.8866,260170
Lubbock,TX,Texas,33.5657,-101.8879,257835
Chandler,AZ,Arizona,33.2825,-111.8514,257076
Scottsdale,AZ,Arizona,33.6872,-111.8651,254995
Tallahassee,FL,Florida,30.4551,-84.2527,254250
Montgomery,AL,Alabama,32.3482,-86.2668,253540
Peoria,IL,Illinois,40.752,-89.6154,253461
Glendale,AZ,Arizona,33.5791,-112.2311,250290
Columbus,GA,Georgia,32.51,-84.8771,249510
Anchorage,AK,Alaska,61.1508,-149.1091,248902
Gilbert,AZ,Arizona,33.31,-111.7463,248349
North Las Vegas,NV,Nevada,36.2883,-115.0888,247248
Avondale,AZ,Arizona,33.3873,-112.3235,247103
McKinney,TX,Texas,33.2016,-96.667,244536
Norfolk,VA,Virginia,36.8945,-76.259,244300
Chesapeake,VA,Virginia,36.6778,-76.3023,242647
Kennewick,WA,Washington,46.1978,-119.1732,240876
Winter Haven,FL,Florida,28.0118,-81.7014,240768
Irving,TX,Texas,32.8583,-96.9702,240475
Garland,TX,Texas,32.91,-96.6304,238622
York,PA,Pennsylvania,39.9651,-76.7315,236818
Concord,NC,North Carolina,35.3933,-80.6369,236626
Arlington,VA,Virginia,38.8786,-77.1011,236434
Atlantic City,NJ,New Jersey,39.3797,-74.4527,236314
Visalia,CA,California,36.3276,-119.3269,235184
Fremont,CA,California,37.5265,-121.9843,234829
Hialeah,FL,Florida,25.8696,-80.3045,233876
Nashua,NH,New Hampshire,42.7491,-71.491,231409
Killeen,TX,Texas,31.0753,-97.7297,231312
Gulfport,MS,Mississippi,30.4274,-89.0704,230156
Brownsville,TX,Texas,25.9975,-97.458,229387
Evansville,IN,Indiana,37.9881,-87.5341,227338
Appleton,WI,Wisconsin,44.278,-88.3892,225728
Navarre,FL,Florida,30.4174,-86.8907,223951
Bel Air South,MD,Maryland,39.5022,-76.3113,222834
Kalamazoo,MI,Michigan,42.2749,-85.5882,220561
Bremerton,WA,Washington,47.5436,-122.7121,219538
Spring Valley,NV,Nevada,36.0952,-115.2636,218697
San Bernardino,CA,California,34.1416,-117.2943,216784
Roanoke,VA,Virginia,37.2785,-79.9581,216388
Spartanburg,SC,South Carolina,34.9442,-81.9251,216021
Tacoma,WA,Washington,47.2431,-122.4531,215766
Enterprise,NV,Nevada,36.0091,-115.2278,214591
Green Bay,WI,Wisconsin,44.5148,-87.9895,214438
Portland,ME,Maine,43.6773,-70.2715,213986
Thousand Oaks,CA,California,34.1914,-118.8756,212806
Fontana,CA,California,34.0968,-117.4599,212704
Hickory,NC,North Carolina,35.741,-81.3223,211042
Moreno Valley,CA,California,33.9244,-117.2045,208751
Deltona,FL,Florida,28.905,-81.2137,205914
Fargo,ND,North Dakota,46.8651,-96.8292,205472
Santa Barbara,CA,California,34.4285,-119.7202,205215
College Station,TX,Texas,30.5852,-96.2959,203848
Gainesville,FL,Florida,29.6804,-82.3459,203541
Amarillo,TX,Texas,35.1984,-101.8316,202902
Norwich,CT,Connecticut,41.5495,-72.0882,201726
Olympia,WA,Washington,47.0417,-122.8959,200836
Yonkers,NY,New York,40.9466,-73.8673,200183
Huntington Beach,CA,California,33.696,-118.0018,199778
Glendale,CA,California,34.1819,-118.2468,199357
Aurora,IL,Illinois,41.7638,-88.2902,199326
Huntington,WV,West Virginia,38.4109,-82.4345,199133
Sunrise Manor,NV,Nevada,36.1783,-115.0487,198187
North Port,FL,Florida,27.0576,-82.1977,195848
Hagerstown,MD,Maryland,39.6401,-77.7217,194602
Grand Prairie,TX,Texas,32.6871,-97.0208,193835
Overland Park,KS,Kansas,38.887,-94.687,193412
Paradise,NV,Nevada,36.0872,-115.1355,193150
Tempe,AZ,Arizona,33.3881,-111.9319,191607
Salinas,CA,California,36.6883,-121.6317,190345
Erie,PA,Pennsylvania,42.1167,-80.0733,189513
Cedar Rapids,IA,Iowa,41.9662,-91.6783,188618
Waterbury,CT,Connecticut,41.5582,-73.0361,188607
Frisco,TX,Texas,33.156,-96.8216,188387
Waco,TX,Texas,31.5599,-97.1882,186695
Gastonia,NC,North Carolina,35.2494,-81.1854,184902
Clarksville,TN,Tennessee,36.5692,-87.3413,183798
Vancouver,WA,Washington,45.6366,-122.5967,182792
Lorain,OH,Ohio,41.4409,-82.184,182015
Nampa,ID,Idaho,43.5844,-116.5638,181887
Fort Lauderdale,FL,Florida,26.1412,-80.1464,181818
Hemet,CA,California,33.7341,-116.9969,180380
Newport News,VA,Virginia,37.1051,-76.5185,179582
Ontario,CA,California,34.0393,-117.6064,178194
Rancho Cucamonga,CA,California,34.1247,-117.5667,178060
Vallejo,CA,California,38.1125,-122.2342,177255
Oceanside,CA,California,33.2247,-117.3083,175694
Vero Beach South,FL,Florida,27.6132,-80.4163,174748
Ocala,FL,Florida,29.178,-82.1511,174618
Sioux Falls,SD,South Dakota,43.5396,-96.7311,173921
Danbury,CT,Connecticut,41.4015,-73.4709,173508
Elk Grove,CA,California,38.4161,-121.3842,173370
High Point,NC,North Carolina,35.991,-79.9937,173324
Garden Grove,CA,California,33.7787,-117.9601,172800
Peoria,AZ,Arizona,33.7843,-112.2989,172109
Pembroke Pines,FL,Florida,26.0128,-80.3382,171979
Medford,OR,Oregon,42.3372,-122.854,171660
Murfreesboro,TN,Tennessee,35.849,-86.4121,169243
Cary,NC,North Carolina,35.7819,-78.8195,169177
Lafayette,IN,Indiana,40.3991,-86.8593,168164
Corona,CA,California,33.8616,-117.5649,168112
Santa Cruz,CA,California,36.9789,-122.0346,165933
Spring Hill,FL,Florida,28.4798,-82.53,165526
Muskegon,MI,Michigan,43.2281,-86.2562,164136
Manchester,NH,New Hampshire,42.9848,-71.4447,163488
Marysville,WA,Washington,48.0809,-122.1561,162700
Springfield,IL,Illinois,39.7709,-89.654,162348
Frederick,MD,Maryland,39.4337,-77.4141,158866
Hayward,CA,California,37.6328,-122.0766,158817
Alexandria,VA,Virginia,38.8185,-77.0861,158309
Bayamon,PR,Puerto Rico,18.3794,-66.1635,157517
Port Arthur,TX,Texas,29.8554,-93.9264,156988
Lakewood,CO,Colorado,39.6977,-105.1172,155733
Fredericksburg,VA,Virginia,38.2992,-77.4872,155414
Leesburg,FL,Florida,28.7672,-81.8962,154301
Hollywood,FL,Florida,26.0293,-80.1679,153834
Palmdale,CA,California,34.5944,-118.1057,153240
Macon,GA,Georgia,32.8065,-83.6974,153026
Kansas City,KS,Kansas,39.1235,-94.7443,153014
Champaign,IL,Illinois,40.1142,-88.2737,152940
Sunnyvale,CA,California,37.3836,-122.0255,152569
Pasadena,TX,Texas,29.6575,-95.1498,152537
Pomona,CA,California,34.0585,-117.7626,151124
Escondido,CA,California,33.1348,-117.0723,150396
Mauldin,SC,South Carolina,34.7821,-82.3032,149687
New Bedford,MA,Massachusetts,41.6697,-70.9428,149570
Panama City,FL,Florida,30.1995,-85.6003,149366
Tuscaloosa,AL,Alabama,33.2348,-87.5268,149302
Warner Robins,GA,Georgia,32.5961,-83.6527,148171
Naperville,IL,Illinois,41.748,-88.1659,147734
Merced,CA,California,37.3057,-120.4779,147690
Elkhart,IN,Indiana,41.6916,-85.9627,147679
Joliet,IL,Illinois,41.5188,-88.1499,147323
Binghamton,NY,New York,42.1014,-75.9093,146870
Houma,LA,Louisiana,29.58,-90.7059,146665
Bellevue,WA,Washington,47.5951,-122.1535,146145
Topeka,KS,Kansas,39.0346,-95.6955,145717
Paterson,NJ,New Jersey,40.9147,-74.1624,145484
Lake Charles,LA,Louisiana,30.201,-93.2111,145029
Torrance,CA,California,33.8346,-118.3416,144430
Thornton,CO,Colorado,39.9197,-104.9438,144186
Tyler,TX,Texas,32.3184,-95.3062,143616
Athens,GA,Georgia,33.9508,-83.3689,143081
Beaumont,TX,Texas,30.0849,-94.1451,142759
Pueblo,CO,Colorado,38.2701,-104.6114,142726
Odessa,TX,Texas,31.8801,-102.3448,142581
Mesquite,TX,Texas,32.7602,-96.5865,142429
Fairfield,CA,California,38.2583,-122.0335,142042
Pasadena,CA,California,34.1597,-118.139,142017
Charleston,WV,West Virginia,38.3484,-81.6322,141640
Fullerton,CA,California,33.8841,-117.9279,141061
Miramar,FL,Florida,25.9773,-80.3351,140479
Midland,TX,Texas,32.0243,-102.1147,140111
Gainesville,GA,Georgia,34.2902,-83.8294,139507
Orange,CA,California,33.8038,-117.8218,139322
Olathe,KS,Kansas,38.8833,-94.82,139216
Santa Maria,CA,California,34.9333,-120.4431,139072
Surprise,AZ,Arizona,33.6815,-112.4515,139007
Roseville,CA,California,38.7703,-121.3196,138860
Metairie,LA,Louisiana,29.9977,-90.178,138511
Yuma,AZ,Arizona,32.5995,-114.5491,137612
Carrollton,TX,Texas,32.989,-96.8999,137319
Burlington,NC,North Carolina,36.076,-79.4685,137096
West Valley City,UT,Utah,40.6886,-112.0123,135610
Hampton,VA,Virginia,37.0551,-76.363,135169
Racine,WI,Wisconsin,42.7274,-87.8135,134679
Greeley,CO,Colorado,40.4152,-104.7706,134417
Harlingen,TX,Texas,26.1916,-97.6977,134306
Carolina,PR,Puerto Rico,18.4054,-65.9792,134207
Warren,MI,Michigan,42.4934,-83.027,134188
Grand Junction,CO,Colorado,39.0877,-108.5673,134074
Coral Springs,FL,Florida,26.2702,-80.2591,133370
Columbia,MO,Missouri,38.9472,-92.3268,132806
Bloomington,IL,Illinois,40.4757,-88.9703,132710
Sterling Heights,MI,Michigan,42.5809,-83.0305,132296
Stamford,CT,Connecticut,41.1039,-73.5585,130057
Kent,WA,Washington,47.3887,-122.2128,130038
Bellingham,WA,Washington,48.7548,-122.469,129653
Las Cruces,NM,New Mexico,32.3265,-106.7893,129538
Greenville,NC,North Carolina,35.5943,-77.376,129374
Round Rock,TX,Texas,30.527,-97.6642,128812
Elizabeth,NJ,New Jersey,40.6658,-74.1913,128484
South Lyon,MI,Michigan,42.4614,-83.6526,128071
Simi Valley,CA,California,34.2663,-118.749,126782
Santa Clara,CA,California,37.3646,-121.968,126723
Yakima,WA,Washington,46.5923,-120.5496,126487
Johnson City,TN,Tennessee,36.3406,-82.3806,126265
Dover,DE,Delaware,39.161,-75.5202,125931
Pearland,TX,Texas,29.5581,-95.3218,125817
Lynchburg,VA,Virginia,37.4003,-79.1909,125710
Fort Smith,AR,Arkansas,35.3495,-94.3695,125306
Yuba City,CA,California,39.1357,-121.6383,124815
Lehigh Acres,FL,Florida,26.612,-81.6388,124523
Kenosha,WI,Wisconsin,42.5865,-87.8773,123865
Arecibo,PR,Puerto Rico,18.4491,-66.7387,123499
Berkeley,CA,California,37.8722,-122.276,123065
Boulder,CO,Colorado,40.0248,-105.2524,122549
Texas City,TX,Texas,29.4154,-94.9682,122017
Iowa City,IA,Iowa,41.6559,-91.5303,120928
Waldorf,MD,Maryland,38.6085,-76.9194,120707
East Los Angeles,CA,California,34.0326,-118.1691,120504
Redding,CA,California,40.5698,-122.365,120370
Arvada,CO,Colorado,39.832,-105.151,120229
The Villages,FL,Florida,28.9034,-81.9887,119296
Saginaw,MI,Michigan,43.4199,-83.9501,118845
Ponce,PR,Puerto Rico,18.0127,-66.6212,118641
Richardson,TX,Texas,32.9716,-96.7093,118583
Sugar Land,TX,Texas,29.5935,-95.6358,118563
Leominster,MA,Massachusetts,42.5209,-71.7717,118190
St. Cloud,MN,Minnesota,45.534,-94.1718,118139
Duluth,MN,Minnesota,46.7756,-92.1393,117934
Cambridge,MA,Massachusetts,42.3759,-71.1185,117822
Monroe,LA,Louisiana,32.5185,-92.0774,117197
Independence,MO,Missouri,39.0871,-94.3501,117139
Rochester,MN,Minnesota,44.0154,-92.478,116962
Rock Hill,SC,South Carolina,34.9415,-81.0241,116746
Bloomington,IN,Indiana,39.1637,-86.5257,116615
Billings,MT,Montana,45.7891,-108.5526,116593
Seaside,CA,California,36.6224,-121.8199,116189
Clearwater,FL,Florida,27.979,-82.7623,115975
Brandon,FL,Florida,27.9367,-82.3,115909
Burlington,VT,Vermont,44.4876,-73.2316,115682
Pottstown,PA,Pennsylvania,40.2508,-75.6445,115413
Waterloo,IA,Iowa,42.4918,-92.3522,115266
West Jordan,UT,Utah,40.6024,-112.0008,115181
Coeur d'Alene,ID,Idaho,47.704,-116.7936,114880
Westminster,CO,Colorado,39.8837,-105.0624,114832
St. George,UT,Utah,37.0758,-113.5752,114612
Gilroy,CA,California,37.0046,-121.5854,114461
Carlsbad,CA,California,33.1246,-117.2834,114411
El Monte,CA,California,34.0739,-118.0291,113917
North Charleston,SC,South Carolina,32.9067,-80.0722,113880
Chico,CA,California,39.7578,-121.8161,113201
Temecula,CA,California,33.4928,-117.1315,113117
Costa Mesa,CA,California,33.6667,-117.9135,112958
Utica,NY,New York,43.0962,-75.2261,112948
Clovis,CA,California,36.8278,-119.683,112663
Norman,OK,Oklahoma,35.2335,-97.3471,112576
Elgin,IL,Illinois,42.0383,-88.324,112062
Centennial,CO,Colorado,39.5926,-104.8673,111331
Lowell,MA,Massachusetts,42.6389,-71.3217,111311
Downey,CA,California,33.9379,-118.1311,111263
Pompano Beach,FL,Florida,26.2428,-80.1312,111202
West Palm Beach,FL,Florida,26.7469,-80.132,111006
Abilene,TX,Texas,32.4543,-99.7384,110993
Everett,WA,Washington,47.9525,-122.1669,110840
Miami Gardens,FL,Florida,25.9433,-80.2426,110767
Gresham,OR,Oregon,45.5021,-122.4413,110456
El Centro,CA,California,32.7865,-115.5595,110434
Richmond,CA,California,37.9477,-122.3389,110051
Inglewood,CA,California,33.9566,-118.3444,109309
Salisbury,MD,Maryland,38.3756,-75.5865,108982
Broken Arrow,OK,Oklahoma,36.038,-95.7806,108875
San Buenaventura,CA,California,34.2741,-119.2314,108467
Sandy Springs,GA,Georgia,33.9366,-84.3703,108180
Hillsboro,OR,Oregon,45.5273,-122.936,108026
Sioux City,IA,Iowa,42.4959,-96.3901,107932
Jacksonville,NC,North Carolina,34.7289,-77.3941,107890
Meridian,ID,Idaho,43.6116,-116.3977,107787
Lewisville,TX,Texas,33.0454,-96.9815,107740
Bend,OR,Oregon,44.0563,-121.3095,107460
Daly City,CA,California,37.6862,-122.4685,107197
Highlands Ranch,CO,Colorado,39.5419,-104.9708,107017
Jurupa Valley,CA,California,34.001,-117.4706,106646
Temple,TX,Texas,31.1068,-97.3891,106332
Logan,UT,Utah,41.7399,-111.8422,106319
Kailua,HI,Hawaii,21.392,-157.7396,106260
West Covina,CA,California,34.0555,-117.9113,105808
Davie,FL,Florida,26.0789,-80.287,105594
Columbia,MD,Maryland,39.2004,-76.859,105412
League City,TX,Texas,29.4874,-95.1087,105410
Mandeville,LA,Louisiana,30.3751,-90.0904,105097
San Tan Valley,AZ,Arizona,33.1786,-111.5629,104936
Turlock,CA,California,37.5053,-120.8588,104719
Norwalk,CA,California,33.9069,-118.0829,104524
Allen,TX,Texas,33.1088,-96.6735,104040
San German,PR,Puerto Rico,18.0827,-67.046,103747
San Mateo,CA,California,37.5522,-122.3121,103619
Rialto,CA,California,34.1175,-117.3892,103549
Burbank,CA,California,34.1879,-118.3235,103411
El Cajon,CA,California,32.8017,-116.9604,103249
Eau Claire,WI,Wisconsin,44.8197,-91.4948,103197
Sparks,NV,Nevada,39.5736,-119.7161,102895
Charlottesville,VA,Virginia,38.0375,-78.4855,102164
Renton,WA,Washington,47.4784,-122.1918,101871
Idaho Falls,ID,Idaho,43.4871,-112.0362,101326
Vista,CA,California,33.1896,-117.2386,100659
Holland,MI,Michigan,42.7677,-86.0984,100202
Longmont,CO,Colorado,40.1686,-105.1005,100146
Wichita Falls,TX,Texas,33.9072,-98.5291,100005
Lafayette,CO,Colorado,39.9946,-105.0998,99475
Vacaville,CA,California,38.3587,-121.9673,99397
Spokane Valley,WA,Washington,47.6626,-117.2346,99275
La Crosse,WI,Wisconsin,43.8241,-91.2268,99227
Carmel,IN,Indiana,39.965,-86.146,99130
Boca Raton,FL,Florida,26.3752,-80.108,98776
Longview,TX,Texas,32.5193,-94.7622,98775
Kingsport,TN,Tennessee,36.5224,-82.5454,98767
South Fulton,GA,Georgia,33.6273,-84.58,98586
Beaverton,OR,Oregon,45.4779,-122.8168,98567
Rio Rancho,NM,New Mexico,35.2873,-106.6982,97976
Prescott Valley,AZ,Arizona,34.598,-112.3185,97901
Orem,UT,Utah,40.2981,-111.6994,97883
Edinburg,TX,Texas,26.3196,-98.1597,97734
San Angelo,TX,Texas,31.4424,-100.4504,97481
Portsmouth,NH,New Hampshire,43.058,-70.7826,97455
Tracy,CA,California,37.7269,-121.4523,97372
Federal Way,WA,Washington,47.3091,-122.3358,96812
Lawrence,KS,Kansas,38.9597,-95.2642,96694
Manteca,CA,California,37.7927,-121.2264,96553
San Marcos,CA,California,33.135,-117.1743,96219
Sandy,UT,Utah,40.5709,-111.8506,96137
Riverview,FL,Florida,27.8227,-82.3023,95849
Compton,CA,California,33.893,-118.2274,95804
Brockton,MA,Massachusetts,42.0821,-71.0242,95740
Santa Fe,NM,New Mexico,35.6619,-105.9819,95498
Hanford,CA,California,36.3274,-119.6549,95459
Middletown,OH,Ohio,39.5033,-84.3659,95296
Hesperia,CA,California,34.3975,-117.3147,95163
Portsmouth,VA,Virginia,36.8468,-76.354,94961
South Gate,CA,California,33.9447,-118.1926,94905
Roswell,GA,Georgia,34.0391,-84.3513,94884
Sunrise,FL,Florida,26.1547,-80.2997,94657
Bowling Green,KY,Kentucky,36.9716,-86.4378,94555
Lee's Summit,MO,Missouri,38.9171,-94.3816,94520
Slidell,LA,Louisiana,30.2887,-89.7828,94498
Blacksburg,VA,Virginia,37.23,-80.4279,94398
Quincy,MA,Massachusetts,42.2506,-71.0187,94389
Plantation,FL,Florida,26.1259,-80.2617,94366
Dearborn,MI,Michigan,42.3127,-83.213,94328
Lynn,MA,Massachusetts,42.4781,-70.9664,94201
Livonia,MI,Michigan,42.3972,-83.3733,93970
Missoula,MT,Montana,46.8751,-114.0214,93723
Arden-Arcade,CA,California,38.6017,-121.3845,93719
Fishers,IN,Indiana,39.9588,-85.9659,93488
Mayaguez,PR,Puerto Rico,18.2003,-67.1397,93426
Terre Haute,IN,Indiana,39.466,-87.3751,93247
Edmond,OK,Oklahoma,35.6689,-97.416,93101
Menifee,CA,California,33.6909,-117.1849,92968
Vineland,NJ,New Jersey,39.4653,-74.9981,92364
Santa Monica,CA,California,34.0235,-118.481,91600
Alafaya,FL,Florida,28.528,-81.1868,91468
Suffolk,VA,Virginia,36.6953,-76.6398,91383
Carson,CA,California,33.8374,-118.2559,91354
Kirkland,WA,Washington,47.697,-122.2057,91146
Westminster,CA,California,33.7523,-117.9938,90857
San Leandro,CA,California,37.7074,-122.1599,90489
